Term 1	Term 2	Frequency of Bigram	Frequency of context	Conditional Probability of Bigram
$	Ya	31	161	0.19254658385093168
?	#	29	30	0.9666666666666667
Ya	estoy	10	31	0.3225806451612903
mi	estimado	9	12	0.75
estimado	#	9	9	1.0
afuera	#	9	9	1.0
voy	#	9	20	0.45
Ya	voy	9	31	0.2903225806451613
$	A	8	161	0.049689440993788817
$	mi	8	161	0.049689440993788817
$	No	8	161	0.049689440993788817
qué	hora	8	10	0.8
por	usted	8	14	0.5714285714285714
$	Yo	7	161	0.043478260869565216
estoy	afuera	7	11	0.6363636363636364
a	ir	6	25	0.24
A	qué	6	8	0.75
$	En	5	161	0.031055900621118012
$	Voy	5	161	0.031055900621118012
$	Y	5	161	0.031055900621118012
va	a	5	8	0.625
jajaja	#	5	5	1.0
hermanazo	#	4	5	0.8
Yo	creo	4	7	0.5714285714285714
creo	que	4	7	0.5714285714285714
a	las	4	25	0.16
$	Como	4	161	0.024844720496894408
$	Va	4	161	0.024844720496894408
Va	#	4	4	1.0
las	2	4	7	0.5714285714285714
para	allá	4	4	1.0
allá	#	4	6	0.6666666666666666
$	Paso	4	161	0.024844720496894408
Paso	por	4	4	1.0
En	efecto	3	5	0.6
$	Pero	3	161	0.018633540372670808
tardes	#	3	3	1.0
voy	a	3	20	0.15
como	a	3	10	0.3
$	Me	3	161	0.018633540372670808
parece	adecuado	3	7	0.42857142857142855
*	*	3	6	0.5
*	#	3	6	0.5
$	º	3	161	0.018633540372670808
º	#	3	3	1.0
Voy	a	3	5	0.6
en	unos	3	6	0.5
mucha	gente	3	4	0.75
$	Buenas	3	161	0.018633540372670808
se	va	3	3	1.0
$	Que	3	161	0.018633540372670808
voy	para	3	20	0.15
usted	#	3	9	0.3333333333333333
usted	como	3	9	0.3333333333333333
como	1:30	3	10	0.3
unos	10	3	5	0.6
estoy	#	3	11	0.2727272727272727
$	Jijo	3	161	0.018633540372670808
la	1:15	2	6	0.3333333333333333
te	parece	2	3	0.6666666666666666
toda	la	2	2	1.0
$	Nos	2	161	0.012422360248447204
Nos	vemos	2	2	1.0
$	Buenos	2	161	0.012422360248447204
las	3	2	7	0.2857142857142857
$	Entonces	2	161	0.012422360248447204
1:30	#	2	4	0.5
voy	por	2	20	0.1
por	ti	2	14	0.14285714285714285
ti	#	2	2	1.0
ya	#	2	4	0.5
Me	parece	2	3	0.6666666666666666
que	sí	2	12	0.16666666666666666
al	baño	2	4	0.5
y	voy	2	4	0.5
$	Te	2	161	0.012422360248447204
tu	casa	2	2	1.0
No	creo	2	8	0.25
efecto	#	2	3	0.6666666666666666
$	Llego	2	161	0.012422360248447204
$	Si	2	161	0.012422360248447204
Buenas	tardes	2	3	0.6666666666666666
a	acudir	2	25	0.08
