Term 1	Term 2	Frequency of Bigram	Frequency of context	Conditional Probability of Bigram
?	#	132	133	0.9924812030075187
we	#	90	108	0.8333333333333334
$	no	72	1206	0.05970149253731343
$	ya	41	1206	0.03399668325041459
$	si	35	1206	0.02902155887230514
$	que	32	1206	0.026533996683250415
$	pero	31	1206	0.02570480928689884
$	a	27	1206	0.022388059701492536
xd	#	23	23	1.0
$	va	20	1206	0.01658374792703151
$	y	20	1206	0.01658374792703151
$	pues	20	1206	0.01658374792703151
va	#	17	27	0.6296296296296297
$	te	16	1206	0.013266998341625208
es	que	16	64	0.25
$	es	16	1206	0.013266998341625208
que	no	15	211	0.07109004739336493
en	la	14	76	0.18421052631578946
$	pq	13	1206	0.01077943615257048
$	el	13	1206	0.01077943615257048
🏻	#	12	12	1.0
no	se	12	161	0.07453416149068323
$	o	12	1206	0.009950248756218905
voy	a	12	16	0.75
no	we	12	161	0.07453416149068323
en	el	11	76	0.14473684210526316
$	por	11	1206	0.00912106135986733
de	la	11	157	0.07006369426751592
a	la	11	119	0.09243697478991597
$	yo	11	1206	0.00912106135986733
kkkk	#	11	11	1.0
$	ey	11	1206	0.00912106135986733
bien	#	11	25	0.44
creo	que	11	15	0.7333333333333333
$	se	10	1206	0.008291873963515755
lo	de	10	74	0.13513513513513514
$	me	10	1206	0.008291873963515755
kkkkk	#	10	10	1.0
si	we	10	64	0.15625
bueno	#	10	18	0.5555555555555556
$	kkkk	10	1206	0.008291873963515755
no	te	10	161	0.062111801242236024
$	para	10	1206	0.008291873963515755
seer	#	10	10	1.0
$	ewe	9	1206	0.007462686567164179
$	smn	9	1206	0.007462686567164179
$	xd	9	1206	0.007462686567164179
no	me	9	161	0.055900621118012424
$	la	9	1206	0.007462686567164179
no	hay	9	161	0.055900621118012424
$	beno	9	1206	0.007462686567164179
beno	#	9	9	1.0
$	lo	9	1206	0.007462686567164179
con	el	9	47	0.19148936170212766
no	#	9	161	0.055900621118012424
pedo	#	9	13	0.6923076923076923
$	ese	9	1206	0.007462686567164179
de	que	9	157	0.05732484076433121
