Term 1	Term 2	Frequency of Bigram	Frequency of context	Conditional Probability of Bigram
?	#	52	55	0.9454545454545454
.	#	29	29	1.0
$	Ya	26	428	0.06074766355140187
xd	#	25	26	0.9615384615384616
$	No	16	428	0.037383177570093455
$	Si	10	428	0.02336448598130841
$	Que	8	428	0.018691588785046728
en	la	8	26	0.3076923076923077
$	Smn	7	428	0.016355140186915886
$	Y	7	428	0.016355140186915886
v	#	7	7	1.0
$	A	7	428	0.016355140186915886
$	Me	7	428	0.016355140186915886
$	Va	7	428	0.016355140186915886
$	xd	6	428	0.014018691588785047
jajaja	#	6	6	1.0
Va	#	6	7	0.8571428571428571
$	Pero	6	428	0.014018691588785047
,	online	6	32	0.1875
online	courses	6	6	1.0
courses	may	6	14	0.42857142857142855
to	stay	6	13	0.46153846153846156
we	#	5	7	0.7142857142857143
$	Vale	5	428	0.011682242990654205
traditional	courses	5	9	0.5555555555555556
,	and	5	32	0.15625
Smn	#	4	7	0.5714285714285714
$	Yo	4	428	0.009345794392523364
$	Nmms	4	428	0.009345794392523364
$	Voy	4	428	0.009345794392523364
$	:	4	428	0.009345794392523364
$	En	4	428	0.009345794392523364
¿	#	4	4	1.0
No	me	4	16	0.25
,	#	4	32	0.125
$	Ando	4	428	0.009345794392523364
en	el	4	26	0.15384615384615385
courses	,	4	14	0.2857142857142857
$	However	4	428	0.009345794392523364
However	,	4	4	1.0
$	false	4	428	0.009345794392523364
false	#	4	4	1.0
$	.	3	428	0.007009345794392523
2	#	3	8	0.375
No	hay	3	16	0.1875
$	Te	3	428	0.007009345794392523
Ya	me	3	26	0.11538461538461539
eso	#	3	5	0.6
$	Es	3	428	0.007009345794392523
de	la	3	26	0.11538461538461539
Vale	vale	3	5	0.6
vale	#	3	3	1.0
$	v	3	428	0.007009345794392523
$	Eo	3	428	0.007009345794392523
Eo	#	3	3	1.0
examen	#	3	6	0.5
Ya	ando	3	26	0.11538461538461539
el	examen	3	26	0.11538461538461539
a	mama	3	36	0.08333333333333333
vas	a	3	5	0.6
$	Sis	3	428	0.007009345794392523
Sis	#	3	3	1.0
$	Bro	3	428	0.007009345794392523
$	2	3	428	0.007009345794392523
$	Online	3	428	0.007009345794392523
Online	courses	3	3	1.0
can	be	3	6	0.5
such	as	3	3	1.0
may	lack	3	12	0.25
lack	the	3	3	1.0
the	social	3	12	0.25
social	interaction	3	3	1.0
interaction	and	3	3	1.0
and	support	3	18	0.16666666666666666
support	systems	3	3	1.0
systems	that	3	3	1.0
that	come	3	4	0.75
come	with	3	3	1.0
with	traditional	3	4	0.75
and	some	3	18	0.16666666666666666
some	students	3	3	1.0
students	may	3	5	0.6
may	find	3	12	0.25
find	it	3	3	1.0
it	difficult	3	3	1.0
difficult	to	3	3	1.0
stay	motivated	3	6	0.5
motivated	without	3	3	1.0
without	the	3	3	1.0
the	structure	3	12	0.25
structure	of	3	3	1.0
of	a	3	8	0.375
a	traditional	3	36	0.08333333333333333
traditional	classroom	3	9	0.3333333333333333
classroom	.	3	3	1.0
$	Additionally	3	428	0.007009345794392523
Additionally	,	3	3	1.0
may	require	3	12	0.25
require	more	3	3	1.0
more	self-discipline	3	4	0.75
self-discipline	and	3	3	1.0
and	time	3	18	0.16666666666666666
time	management	3	4	0.75
management	skills	3	3	1.0
skills	to	3	3	1.0
stay	on	3	6	0.5
on	track	3	7	0.42857142857142855
track	.	3	3	1.0
$	Le	3	428	0.007009345794392523
y	claro	3	14	0.21428571428571427
claro	#	3	3	1.0
$	Cambio	3	428	0.007009345794392523
Cambio	#	3	3	1.0
$	?	2	428	0.004672897196261682
las	2	2	6	0.3333333333333333
$	Tu	2	428	0.004672897196261682
bien	#	2	3	0.6666666666666666
$	Pq	2	428	0.004672897196261682
No	xd	2	16	0.125
al	rato	2	5	0.4
$	O	2	428	0.004672897196261682
a	las	2	36	0.05555555555555555
:	'	2	15	0.13333333333333333
fue	el	2	2	1.0
de	incidencia	2	26	0.07692307692307693
$	Estas	2	428	0.004672897196261682
del	pan	2	8	0.25
$	Ah	2	428	0.004672897196261682
$	Tienes	2	428	0.004672897196261682
cd	#	2	2	1.0
que	?	2	29	0.06896551724137931
llego	#	2	2	1.0
:	#	2	15	0.13333333333333333
$	Bueno	2	428	0.004672897196261682
$	El	2	428	0.004672897196261682
xdd	#	2	2	1.0
a	mamá	2	36	0.05555555555555555
mamá	que	2	2	1.0
$	We	2	428	0.004672897196261682
voy	a	2	4	0.5
Yo	creo	2	4	0.5
$	Ahorita	2	428	0.004672897196261682
de	que	2	26	0.07692307692307693
llegas	?	2	2	1.0
anda	preguntando	2	2	1.0
:	v	2	15	0.13333333333333333
hacer	guardia	2	4	0.5
$	Se	2	428	0.004672897196261682
primero	#	2	2	1.0
que	no	2	29	0.06896551724137931
$	ya	2	428	0.004672897196261682
$	no	2	428	0.004672897196261682
me	falta	2	16	0.125
el	pedo	2	26	0.07692307692307693
$	eso	2	428	0.004672897196261682
$	dale	2	428	0.004672897196261682
dale	#	2	2	1.0
$	si	2	428	0.004672897196261682
a	mi	2	36	0.05555555555555555
:	,	2	15	0.13333333333333333
a	ver	2	36	0.05555555555555555
$	Esa	2	428	0.004672897196261682
Y	si	2	7	0.2857142857142857
Pero	no	2	6	0.3333333333333333
no	#	2	20	0.1
$	Mis	2	428	0.004672897196261682
la	mañana	2	25	0.08
llegando	#	2	3	0.6666666666666666
No	vas	2	16	0.125
estás	en	2	2	1.0
la	escuela	2	25	0.08
escuela	#	2	2	1.0
$	Asies	2	428	0.004672897196261682
Asies	#	2	2	1.0
la	casa	2	25	0.08
casa	?	2	4	0.5
$	5	2	428	0.004672897196261682
creo	que	2	3	0.6666666666666666
que	está	2	29	0.06896551724137931
$	Deja	2	428	0.004672897196261682
$	Haber	2	428	0.004672897196261682
la	4ta	2	25	0.08
$	Chi	2	428	0.004672897196261682
Chi	#	2	2	1.0
$	Lo	2	428	0.004672897196261682
$	Dear	2	428	0.004672897196261682
Dear	Jane	2	2	1.0
Jane	,	2	2	1.0
their	own	2	2	1.0
for	students	2	3	0.6666666666666666
on	campus	2	7	0.2857142857142857
can	also	2	6	0.3333333333333333
reason	could	2	2	1.0
could	be	2	3	0.6666666666666666
be	to	2	6	0.3333333333333333
,	such	2	32	0.0625
Vale	#	2	5	0.4
$	Afirmativo	2	428	0.004672897196261682
Afirmativo	#	2	2	1.0
🥺	🥺	2	4	0.5
🥺	#	2	4	0.5
$	Ahí	2	428	0.004672897196261682
van	a	2	2	1.0
$	Esta	2	428	0.004672897196261682
casa	de	2	4	0.5
de	Kevin	2	26	0.07692307692307693
$	Fuerte	2	428	0.004672897196261682
