Term 1	Term 2	Term 3	Frequency of Trigram	Frequency of Context	Conditional Probability of Trigram
$	xd	#	6	6	1.0
$	Va	#	6	7	0.8571428571428571
,	online	courses	6	6	1.0
online	courses	may	6	6	1.0
$	Smn	#	4	7	0.5714285714285714
$	No	me	4	16	0.25
$	However	,	4	4	1.0
$	false	#	4	4	1.0
$	.	#	3	3	1.0
$	No	hay	3	16	0.1875
$	Ya	me	3	26	0.11538461538461539
$	Vale	vale	3	5	0.6
Vale	vale	#	3	3	1.0
$	v	#	3	3	1.0
$	Eo	#	3	3	1.0
$	Ya	ando	3	26	0.11538461538461539
$	Sis	#	3	3	1.0
$	Online	courses	3	3	1.0
However	,	online	3	4	0.75
courses	may	lack	3	6	0.5
may	lack	the	3	3	1.0
lack	the	social	3	3	1.0
the	social	interaction	3	3	1.0
social	interaction	and	3	3	1.0
interaction	and	support	3	3	1.0
and	support	systems	3	3	1.0
support	systems	that	3	3	1.0
systems	that	come	3	3	1.0
that	come	with	3	3	1.0
come	with	traditional	3	3	1.0
with	traditional	courses	3	3	1.0
traditional	courses	,	3	5	0.6
courses	,	and	3	4	0.75
,	and	some	3	5	0.6
and	some	students	3	3	1.0
some	students	may	3	3	1.0
students	may	find	3	3	1.0
may	find	it	3	3	1.0
find	it	difficult	3	3	1.0
it	difficult	to	3	3	1.0
difficult	to	stay	3	3	1.0
to	stay	motivated	3	6	0.5
stay	motivated	without	3	3	1.0
motivated	without	the	3	3	1.0
without	the	structure	3	3	1.0
the	structure	of	3	3	1.0
structure	of	a	3	3	1.0
of	a	traditional	3	3	1.0
a	traditional	classroom	3	3	1.0
traditional	classroom	.	3	3	1.0
classroom	.	#	3	3	1.0
$	Additionally	,	3	3	1.0
Additionally	,	online	3	3	1.0
courses	may	require	3	6	0.5
may	require	more	3	3	1.0
require	more	self-discipline	3	3	1.0
more	self-discipline	and	3	3	1.0
self-discipline	and	time	3	3	1.0
and	time	management	3	3	1.0
time	management	skills	3	3	1.0
management	skills	to	3	3	1.0
skills	to	stay	3	3	1.0
to	stay	on	3	6	0.5
stay	on	track	3	3	1.0
on	track	.	3	3	1.0
track	.	#	3	3	1.0
y	claro	#	3	3	1.0
$	Cambio	#	3	3	1.0
$	?	#	2	2	1.0
$	No	xd	2	16	0.125
No	xd	#	2	2	1.0
que	?	#	2	2	1.0
$	:	#	2	4	0.5
a	mamá	que	2	2	1.0
$	Yo	creo	2	4	0.5
llegas	?	#	2	2	1.0
:	v	#	2	2	1.0
$	dale	#	2	2	1.0
$	Y	si	2	7	0.2857142857142857
$	Pero	no	2	6	0.3333333333333333
$	No	vas	2	16	0.125
en	la	escuela	2	8	0.25
la	escuela	#	2	2	1.0
$	Asies	#	2	2	1.0
en	la	casa	2	8	0.25
la	casa	?	2	2	1.0
casa	?	#	2	2	1.0
$	Chi	#	2	2	1.0
$	Dear	Jane	2	2	1.0
Dear	Jane	,	2	2	1.0
Jane	,	#	2	2	1.0
reason	could	be	2	2	1.0
could	be	to	2	2	1.0
,	such	as	2	2	1.0
$	Vale	#	2	5	0.4
$	Afirmativo	#	2	2	1.0
casa	de	Kevin	2	2	1.0
$	Fuerte	y	2	2	1.0
Fuerte	y	claro	2	2	1.0
$	Ghh	#	2	2	1.0
$	Si	#	2	10	0.2
$	Listo	#	2	2	1.0
$	Ingles	:	1	1	1.0
Ingles	:	ID	1	1	1.0
:	ID	de	1	1	1.0
ID	de	reunión	1	1	1.0
de	reunión	:	1	1	1.0
reunión	:	987	1	1	1.0
:	987	2478	1	1	1.0
987	2478	5996	1	1	1.0
2478	5996	#	1	1	1.0
$	Programacion	:	1	1	1.0
Programacion	:	Meeting	1	1	1.0
:	Meeting	ID	1	1	1.0
Meeting	ID	:	1	1	1.0
ID	:	727	1	1	1.0
:	727	353	1	1	1.0
727	353	5852	1	1	1.0
353	5852	#	1	1	1.0
$	Gugyhu	#	1	1	1.0
$	cambia	las	1	1	1.0
cambia	las	unidades	1	1	1.0
las	unidades	nomas	1	1	1.0
unidades	nomas	#	1	1	1.0
$	mismo	caso	1	1	1.0
mismo	caso	#	1	1	1.0
$	denada	jjsjajsjas	1	1	1.0
denada	jjsjajsjas	#	1	1	1.0
$	27	#	1	1	1.0
$	Nah	#	1	1	1.0
$	Aguanto	hasta	1	1	1.0
Aguanto	hasta	las	1	1	1.0
hasta	las	2	1	1	1.0
las	2	#	1	2	0.5
$	Tu	si	1	2	0.5
Tu	si	?	1	1	1.0
si	?	#	1	1	1.0
$	Está	bien	1	1	1.0
Está	bien	#	1	1	1.0
$	Pq	era	1	2	0.5
Pq	era	material	1	1	1.0
era	material	del	1	1	1.0
material	del	ine	1	1	1.0
del	ine	jajajsja	1	1	1.0
ine	jajajsja	#	1	1	1.0
$	Y	dizque	1	7	0.14285714285714285
Y	dizque	nosotros	1	1	1.0
dizque	nosotros	no	1	1	1.0
