Term 1	Term 2	Frequency of Bigram	Frequency of context	Conditional Probability of Bigram
?	#	584	611	0.955810147299509
xd	#	240	250	0.96
$	no	89	3186	0.02793471437539234
$	que	86	3186	0.02699309478970496
🏻	#	79	105	0.7523809523809524
$	me	58	3186	0.01820464532328939
$	pero	57	3186	0.017890772128060263
jajaja	#	54	60	0.9
$	xd	51	3186	0.0160075329566855
creo	que	50	59	0.847457627118644
$	y	50	3186	0.015693659761456372
$	ya	50	3186	0.015693659761456372
$	Que	49	3186	0.015379786566227243
que	no	48	696	0.06896551724137931
👍	🏻	47	48	0.9791666666666666
jaja	#	46	52	0.8846153846153846
$	yo	45	3186	0.014124293785310734
,	no	40	525	0.0761904761904762
$	No	40	3186	0.012554927809165096
de	que	37	499	0.07414829659318638
que	me	36	696	0.05172413793103448
$	Pero	34	3186	0.010671688637790333
$	a	34	3186	0.010671688637790333
,	pero	33	525	0.06285714285714286
$	Yo	32	3186	0.010043942247332079
$	se	32	3186	0.010043942247332079
que	tal	32	696	0.04597701149425287
$	Me	31	3186	0.00973006905210295
$	Ya	30	3186	0.009416195856873822
en	el	29	240	0.12083333333333333
🤙	🏻	29	29	1.0
es	que	28	166	0.1686746987951807
lo	que	28	146	0.1917808219178082
$	como	27	3186	0.00847457627118644
que	te	27	696	0.03879310344827586
$	es	27	3186	0.00847457627118644
en	la	27	240	0.1125
cool	#	26	41	0.6341463414634146
a	mi	26	359	0.07242339832869081
$	Y	26	3186	0.008160703075957313
no	me	25	341	0.07331378299120235
$	en	25	3186	0.007846829880728186
$	de	25	3186	0.007846829880728186
,	me	24	525	0.045714285714285714
que	es	24	696	0.034482758620689655
a	la	24	359	0.06685236768802229
no	se	24	341	0.07038123167155426
$	Es	24	3186	0.007532956685499058
que	sí	24	696	0.034482758620689655
:)	#	23	26	0.8846153846153846
XD	#	23	25	0.92
,	#	23	525	0.04380952380952381
$	tú	23	3186	0.007219083490269931
de	la	22	499	0.04408817635270541
no	sé	22	341	0.06451612903225806
$	A	22	3186	0.006905210295040804
$	sí	22	3186	0.006905210295040804
$	la	22	3186	0.006905210295040804
$	te	22	3186	0.006905210295040804
$	pues	21	3186	0.006591337099811676
la	escuela	20	284	0.07042253521126761
$	XD	20	3186	0.006277463904582548
voy	a	19	27	0.7037037037037037
es	#	19	166	0.1144578313253012
no	#	19	341	0.05571847507331378
tú	?	19	41	0.4634146341463415
$	Cómo	19	3186	0.005963590709353421
no	?	19	341	0.05571847507331378
bien	#	19	62	0.3064516129032258
$	Xd	18	3186	0.005649717514124294
Xd	#	18	18	1.0
,	que	18	525	0.03428571428571429
,	y	18	525	0.03428571428571429
$	creo	18	3186	0.005649717514124294
$	En	17	3186	0.0053358443188951665
pero	no	17	126	0.1349206349206349
$	por	17	3186	0.0053358443188951665
va	a	17	33	0.5151515151515151
$	?	16	3186	0.005021971123666039
por	qué	16	109	0.14678899082568808
que	se	16	696	0.022988505747126436
""""	#	16	57	0.2807017543859649
Andrea	#	16	23	0.6956521739130435
