Term 1	Term 2	Term 3	Frequency of Trigram	Frequency of Context	Conditional Probability of Trigram
$	Ya	estoy	10	31	0.3225806451612903
mi	estimado	#	9	9	1.0
$	Ya	voy	9	31	0.2903225806451613
$	mi	estimado	8	8	1.0
Ya	estoy	afuera	7	10	0.7
estoy	afuera	#	7	7	1.0
Ya	voy	#	6	9	0.6666666666666666
$	A	qué	6	8	0.75
A	qué	hora	6	6	1.0
$	Yo	creo	4	7	0.5714285714285714
$	Va	#	4	4	1.0
$	Paso	por	4	4	1.0
Paso	por	usted	4	4	1.0
$	En	efecto	3	5	0.6
Yo	creo	que	3	4	0.75
voy	a	ir	3	3	1.0
como	a	las	3	3	1.0
*	*	#	3	3	1.0
$	º	#	3	3	1.0
$	Voy	a	3	5	0.6
Ya	voy	para	3	9	0.3333333333333333
voy	para	allá	3	3	1.0
para	allá	#	3	4	0.75
por	usted	como	3	8	0.375
Ya	estoy	#	3	10	0.3
$	Nos	vemos	2	2	1.0
a	las	3	2	4	0.5
voy	por	ti	2	2	1.0
por	ti	#	2	2	1.0
$	Me	parece	2	3	0.6666666666666666
Me	parece	adecuado	2	2	1.0
va	a	ir	2	5	0.4
y	voy	#	2	2	1.0
$	No	creo	2	8	0.25
En	efecto	#	2	3	0.6666666666666666
a	las	2	2	4	0.5
$	Buenas	tardes	2	3	0.6666666666666666
Buenas	tardes	#	2	2	1.0
va	a	acudir	2	5	0.4
a	acudir	hoy	2	2	1.0
qué	hora	se	2	8	0.25
hora	se	va	2	2	1.0
se	va	a	2	3	0.6666666666666666
hoy	?	#	2	2	1.0
a	ir	hasta	2	6	0.3333333333333333
$	Hay	mucha	2	2	1.0
Hay	mucha	gente	2	2	1.0
paso	por	usted	2	2	1.0
$	Ya	nada	2	31	0.06451612903225806
Ya	nada	más	2	2	1.0
parece	correcto	?	2	2	1.0
correcto	?	#	2	2	1.0
$	En	unos	2	5	0.4
por	usted	#	2	8	0.25
$	No	me	2	8	0.25
No	me	diga	2	2	1.0
me	diga	eso	2	2	1.0
diga	eso	#	2	2	1.0
$	Como	a	2	4	0.5
a	qué	hora	2	2	1.0
ir	jajaja	#	2	2	1.0
en	unos	10	2	3	0.6666666666666666
unos	10	#	2	3	0.6666666666666666
$	Jijo	#	2	3	0.6666666666666666
En	efecto	mi	1	3	0.3333333333333333
efecto	mi	estimade	1	1	1.0
mi	estimade	#	1	1	1.0
$	A	la	1	8	0.125
A	la	1:15	1	1	1.0
la	1:15	te	1	2	0.5
1:15	te	parece	1	1	1.0
te	parece	bien	1	2	0.5
parece	bien	?	1	1	1.0
bien	?	#	1	1	1.0
$	Tssss	me	1	1	1.0
Tssss	me	vas	1	1	1.0
me	vas	a	1	1	1.0
vas	a	abandonar	1	1	1.0
a	abandonar	toda	1	1	1.0
abandonar	toda	la	1	1	1.0
toda	la	semana	1	2	0.5
la	semana	#	1	1	1.0
$	Pero	va	1	3	0.3333333333333333
Pero	va	#	1	1	1.0
Nos	vemos	la	1	2	0.5
vemos	la	próxima	1	1	1.0
la	próxima	semana	1	1	1.0
próxima	semana	entonces	1	1	1.0
semana	entonces	hermanazo	1	1	1.0
entonces	hermanazo	#	1	1	1.0
$	Buenos	tardes	1	2	0.5
Buenos	tardes	#	1	1	1.0
creo	que	voy	1	4	0.25
que	voy	a	1	1	1.0
a	ir	como	1	6	0.16666666666666666
ir	como	a	1	1	1.0
las	3	#	1	2	0.5
$	Entonces	yo	1	2	0.5
Entonces	yo	creo	1	1	1.0
yo	creo	que	1	1	1.0
creo	que	no	1	4	0.25
que	no	lo	1	1	1.0
no	lo	veré	1	1	1.0
lo	veré	hoy	1	1	1.0
veré	hoy	#	1	1	1.0
$	Ei	#	1	1	1.0
$	Como	1:30	1	4	0.25
Como	1:30	#	1	1	1.0
$	Ya	casi	1	31	0.03225806451612903
Ya	casi	voy	1	1	1.0
casi	voy	por	1	1	1.0
$	Sí	no	1	1	1.0
Sí	no	es	1	1	1.0
no	es	mucha	1	1	1.0
es	mucha	molestia	1	1	1.0
mucha	molestia	#	1	1	1.0
$	Voy	#	1	5	0.2
$	Ya	ya	1	31	0.03225806451612903
Ya	ya	ya	1	1	1.0
ya	ya	#	1	1	1.0
$	O	en	1	1	1.0
O	en	cuánto	1	1	1.0
en	cuánto	?	1	1	1.0
cuánto	?	#	1	1	1.0
parece	adecuado	#	1	3	0.3333333333333333
$	Correcto	diría	1	1	1.0
Correcto	diría	yo	1	1	1.0
diría	yo	#	1	1	1.0
$	Y	están	1	5	0.2
Y	están	allá	1	1	1.0
están	allá	?	1	1	1.0
allá	?	#	1	1	1.0
$	Ya	*	1	31	0.03225806451612903
Ya	*	*	1	1	1.0
$	No	va	1	8	0.125
No	va	a	1	1	1.0
a	ir	Antony	1	6	0.16666666666666666
ir	Antony	?	1	1	1.0
Antony	?	#	1	1	1.0
$	Yo	creí	1	7	0.14285714285714285
Yo	creí	que	1	1	1.0
creí	que	sí	1	1	1.0
que	sí	y	1	2	0.5
sí	y	que	1	1	1.0
y	que	iban	1	1	1.0
que	iban	a	1	1	1.0
iban	a	pasar	1	1	1.0
a	pasar	por	1	1	1.0
pasar	por	mí	1	1	1.0
por	mí	#	1	1	1.0
$	Los	estaba	1	1	1.0
