Term 1	Term 2	Term 3	Frequency of Trigram	Frequency of Context	Conditional Probability of Trigram
$	xd	#	48	51	0.9411764705882353
👍	🏻	#	41	47	0.8723404255319149
🤙	🏻	#	20	29	0.6896551724137931
$	XD	#	19	20	0.95
no	?	#	19	19	1.0
$	que	tal	19	86	0.22093023255813954
$	Xd	#	18	18	1.0
tú	?	#	18	19	0.9473684210526315
$	?	#	15	16	0.9375
$	creo	que	15	18	0.8333333333333334
,	no	?	14	40	0.35
$	no	#	14	89	0.15730337078651685
$	jajaja	#	13	15	0.8666666666666667
$	Que	tal	13	49	0.2653061224489796
$	es	que	12	27	0.4444444444444444
$	tú	?	12	23	0.5217391304347826
eso	?	#	11	12	0.9166666666666666
a	mi	me	11	26	0.4230769230769231
$	de	que	11	25	0.44
$	Jajaja	#	11	13	0.8461538461538461
$	hey	#	10	11	0.9090909090909091
👉	🏻	👈	10	10	1.0
🏻	👈	🏻	10	10	1.0
👈	🏻	#	10	10	1.0
$	Jajajaja	#	9	10	0.9
$	a	mi	9	34	0.2647058823529412
$	yep	#	9	14	0.6428571428571429
$	Es	que	9	24	0.375
creo	que	sí	9	50	0.18
estás	?	#	9	9	1.0
u	?	#	8	9	0.8888888888888888
hoy	?	#	8	9	0.8888888888888888
$	no	sé	8	89	0.0898876404494382
$	ya	veo	8	50	0.16
más	o	menos	8	8	1.0
$	bueno	,	8	11	0.7272727272727273
$	se	ve	8	32	0.25
$	:(	#	8	9	0.8888888888888888
$	me	imagino	8	58	0.13793103448275862
verdad	?	#	8	8	1.0
$	jajajaja	#	8	8	1.0
🤙	🏻	🤙	8	29	0.27586206896551724
🏻	🤙	🏻	8	8	1.0
es	que	no	7	28	0.25
$	Creo	que	7	10	0.7
$	heyy	#	7	8	0.875
$	pero	no	7	57	0.12280701754385964
$	A	ver	7	22	0.3181818181818182
$	No	me	7	40	0.175
$	Cómo	estás	7	19	0.3684210526315789
onda	?	#	7	8	0.875
un	par	de	7	8	0.875
$	tú	que	7	23	0.30434782608695654
$	Andrea	#	7	8	0.875
$	Cool	#	6	8	0.75
$	Yep	,	6	10	0.6
no	sé	si	6	22	0.2727272727272727
que	onda	#	6	14	0.42857142857142855
de	lo	que	6	9	0.6666666666666666
$	Me	da	6	31	0.1935483870967742
no	sé	por	6	22	0.2727272727272727
a	la	escuela	6	24	0.25
la	escuela	#	6	20	0.3
pero	creo	que	6	6	1.0
