Source	Title	Content	Section	URL	Date
La Jornada	Récord 96 mil asistente pelea Dubois Joshua hoy Wembley 	Londres . Daniel Dubois , nuevo estrella boxeo mundial , dos vez campeón orbe Anthony Joshua disputar hoy cinturón peso pesado Federación Internacional Boxeo ( FIB ) multitud récord 96 mil persona catedral futbol : Wembley . 	Deportes	https://www.jornada.com.mx/2024/09/21/deportes/a09n2dep?partner=rss	21/09/2024
La Jornada	América   no estar   formar jugador , decir Jardine 	ser América club menos minuto haber dar juvenil , timonel plantel André Jardine mostrar contra regla menor , tener intención impulsar joven talento , señalar prioridad Liga Mx ser ganar torneo no formación jugador beneficio selección México . 	Deportes	https://www.jornada.com.mx/2024/09/21/deportes/a11n3dep?partner=rss	21/09/2024
La Jornada	Fátima Herrera , miedo ,   hacer historia ring París 2024 	surgimiento referente deporte mujer comenzar forjar nuevo talento . inspira-da proeza Jackie Nava Ana María Guerrera Torres , Fátima Herrera pelear llegar París 2024 , hacer historia convertir él primero boxeadora mexicano conseguir victoria Juegos Olímpicos . 	Deportes	https://www.jornada.com.mx/2024/09/21/deportes/a09n1dep?partner=rss	21/09/2024
La Jornada	Pumas femenil dejar escapar tres punto CU 	pese generar oportunidad gol , Pumas no lograr pa-sar empate 0-0 Querétaro , dejar escapar valioso punto permitir afianzar él primero lugar clasificación general torneo Apertura 2024 Liga Mx Femenil . 	Deportes	https://www.jornada.com.mx/2024/09/21/deportes/a11n2dep?partner=rss	21/09/2024
La Jornada	Cae dupla Zverev-Alcaraz 	dupla Carlos Alcaraz-Alexander Zverev caer pareja estadunidense formado Taylor Fritz Ben Shelton , 7-6 ( 7/5 ) 6-4 , dejar marcador 2-2 final primero jornada Laver Cup , disputar Berlín . impulsado Roger Federer 2017 , competencia – exhibición inspirado Ryder Cup golf llamado así homenaje jugador australiano Rod Laver – enfrentar seis jugador Europa número representante resto mundo . 	Deportes	https://www.jornada.com.mx/2024/09/21/deportes/a10n3dep?partner=rss	21/09/2024
La Jornada	México perder penales leyenda FIFA 	plantel repleto figura época , equipo leyenda FIFA Monterrey protagonizar partido exhibición congregar mil persona estadio BBVA , actual casa Rayados sed México Copa Mundo 2026 . Andrea pir él , Dwayne Rosario Youri Djorkaeff marcar internacional , ex seleccionado tricolor Luis Hernández , Miguel Layún Jorge Campos lograr empate tres . ya penales , representante FIFA imponer 5-4 . dar inactividad participante retiro profesional , organizador ajustar dimensión terreno juego . leyenda FIFA estar arquero Gianluigi Buffon , Alessandro Piero , Didier Drogba , Carles Puyol , Xavi Hernández Diego Forlán . México destacar Oribe Peralta , Luis Hernádez , Jorge Campos , Guillermo Franco , Paul Aguilar técnico Bora Milutinovic . 	Deportes	https://www.jornada.com.mx/2024/09/21/deportes/a27n2dep?partner=rss	21/09/2024
La Jornada	Tuzos salir crisis ; derrotar Puebla visita 	Pachuca reordenar pieza rompecabeza . victoria fecha anterior , Tuzos volver ganar Liga Mx imponer él 3-2 Puebla estadio Cuauhtémoc . mucho tener ver debilidad defensivo Franja , más contundencia delantero Salomón Rondón Nelson Deossa , ser figura ataque . 	Deportes	https://www.jornada.com.mx/2024/09/21/deportes/a11n1dep?partner=rss	21/09/2024
La Jornada	Jaime Munguía regresar grande   ganar nocaut 	Jaime Munguía regresar ring plan grande . duro pelea canadiense Erik Bazinyan , Glendale , Arizona , pugilista mexicano conseguir victoria vía nocaut décimo asalto , luego poderoso gancho mano izquierdo ocasionar derrumbe rival . Bazinyan intentar parar él , recibir cuenta réferi , no encontrar fuerza pierna aceptar derrota . combate dejar mano tijuanense título plata peso supermediano CMB . “ ser pelea fuerte , pesado , momento Bazinyan lastimar . tener ir abriéndolo poco poco . ahora , querer mejor pelea . siguiente año gustar enfrentar Caleb Plant Édgar Berlanga ” , declarar Munguía , no pelear derrota tapatío Saúl Canelo Álvarez . 	Deportes	https://www.jornada.com.mx/2024/09/21/deportes/a27n1dep?partner=rss	21/09/2024
La Jornada	Verstappen , castigado   lenguaje “ grosero ” ; Norris liderar práctico 	Max Verstappen caer nuevo espiral error perseguir Red Bull . jornada ensayo libre gran Premio Singapur , tricampeón mundial Fórmula 1 lograr cuarto mejor tiempo primero ronda , luego ser lugar 15 , quejar él falta adherencia goma . quedar 1.2 segundo líder Lando Norris ( McLaren ) , brillar circuito urbano Mari-na Bay delante monegasco Charles Leclerc Carlos Sainz ( Ferrari ) . mexicano Sergio Pérez ubicar octavo puesto . 	Deportes	https://www.jornada.com.mx/2024/09/21/deportes/a10n1dep?partner=rss	21/09/2024
La Jornada	Ohtani desata euforio   prensa japonés 	proeza Shohei Ohtani , convertir primero pelotero Grandes Ligas 50 jonrón 50 base robado temporada , ser celebrar edición extra periódico aficio-nado leyerar camino trabajo viernes Japón . 	Deportes	https://www.jornada.com.mx/2024/09/21/deportes/a10n2dep?partner=rss	21/09/2024
La Jornada	Carlos Fernández-Vega : México SA 	Ernesto Zedillo ser     seis depredador Estado instalado Pinos régimen neoliberal , igual gerente estirpe , dedicar entregar bien nación gran capital . bien sello sexenal ser ilegal “ rescate ” banca , vía Fobaproa , personaje ahora intentar reivindicar derecha autóctono ser más allá , siempre contra interés nacional . 	Economía	https://www.jornada.com.mx/2024/09/21/opinion/016o1eco?partner=rss	21/09/2024
La Jornada	Reserva Federal EU ya no ser referente política monetario global 	banco central país realizar serie movimiento tasa interés semana , encabezado Reserva Federal Estados Unidos ( Fed ) , miércoles recortar tasa referencia primero vez 2020 . 	Economía	https://www.jornada.com.mx/2024/09/21/economia/016n1eco?partner=rss	21/09/2024
